pmid,relations
36991503,MESH:D009103!BCL2L13!0.9985!Association;MESH:D009103!MMEL1!0.9577!Association;MESH:D009103!CD27!0.9606!Association;MESH:D009103!MMEL1!0.9821!Association;MESH:D009103!SLC2A4RG!0.9084!Association;MESH:D009103!BCL2L13!0.9863!Association;MESH:D009103!MIR548AC!0.9695!Association
39361706,MESH:D054740!CSF1R!0.873!Association;MESH:D054740!DNMT3A!0.9996!Association;MESH:D015614!BRAF!0.9994!Association;MESH:D054740!CD1A!0.5063!Negative_Correlation;MESH:D054740!SRSF2!0.9997!Association;MESH:D015614!MAP2K1!0.9995!Association;MESH:D054740!BRAF!0.9958!Association;MESH:D054740!MAP2K1!0.683!Association;MESH:D054740!CD207!0.9807!Negative_Correlation;MESH:D054740!TET2!0.9997!Association;MESH:D054740!KRAS!0.9992!Association
39412222,MESH:D016472!SVBP!0.9997!Association;MESH:D015419!SVBP!0.9997!Association;MESH:D008607!SVBP!0.9997!Association;MESH:D001072!SVBP!0.9985!Association;MESH:D010523!SVBP!0.9992!Association
40046196,MESH:D012893!HCRTR1!0.9997!Association;MESH:D008881!HCRTR1!0.9997!Association
38437227,MESH:D005355!MTARC1!0.995!Association
39337460,MESH:D000086382!SLFN5!0.9996!Association;MESH:D014397!ODF2L!0.9997!Association;MESH:D000086382!LAG3!0.9992!Association;MESH:D014397!LAG3!0.999!Association;MESH:D014397!TRAV1-2!0.9997!Association;MESH:D014397!CD4!0.9898!Association;MESH:D000086382!CD4!0.9771!Association;MESH:D000086382!GBP2!0.9976!Association;MESH:D014397!GBP2!0.9783!Association;MESH:D014397!PTMS!0.9984!Association;MESH:D000086382!PTMS!0.9994!Association
39657131,MESH:C537021!TBCE!0.9996!Association;MESH:D019973!TBCE!0.9226!Association;MESH:C543092!TBCE!0.9993!Association;MESH:D001927!TBCE!0.9996!Association;MESH:D006130!TBCE!0.9987!Association;MESH:D009896!TBCE!0.9996!Association;MESH:D008607!TBCE!0.9995!Association;MESH:C537157!TBCE!0.9997!Association;MESH:D003929!TBCE!0.9996!Association;MESH:D002658!TBCE!0.9993!Association
40185339,MESH:D028361!NFE2L2!0.9996!Association;MESH:C567009!DARS2!0.9995!Association;MESH:D056784!DARS2!0.9975!Association;MESH:C567009!NFE2L2!0.9988!Association;MESH:D028361!DARS2!0.9455!Association
40223682,MESH:D018382!TPO!0.9996!Association;MESH:D003409!TPO!0.9997!Association;MESH:D000094602!TPO!0.9997!Association
25434007,MESH:D001714!MIR137!0.9996!Association;MESH:D009447!MIR137!0.9996!Association;MESH:D001714!MIR2682!0.9997!Association;MESH:D009447!MIR2682!0.9996!Association;MESH:D012559!MIR137!0.9996!Association;MESH:D012559!MIR2682!0.9996!Association
