gene,disease,score,association,pmid
DCLRE1B,MESH:D009369,0.799,Positive_Correlation,39864538
DPH2,MESH:D009369,0.999,Association,39928200
DPH2,OMIM:616901,1.0,Association,"39928200,40130534"
DPH2,MESH:D011471,0.841,Association,39928200
DPH2,MESH:D000230,0.999,Association,39928200
FCER1G,MESH:D003324,0.999,Association,39953122
FCGR2A,MESH:D003324,0.999,Association,39953122
UBIAD1,MESH:D009765,1.0,Association,40016272
UBIAD1,MESH:D018205,0.999,Association,40016272
LRP8,MESH:D001943,0.999,Association,40022442
ZNF697,MESH:D000077192,0.957,Association,40029500
MIR200B,MESH:D002289,0.997,Association,40034591
Nek7,MESH:D009062,0.998,Association,40054700
RNF207,MESH:D002311,0.999,Association,"37723491,40080479"
ABCA4,MESH:D012162,0.999,Association,"40101946,40127654"
GLRX2,MESH:D020961,0.992,Negative_Correlation,40111912
YY1AP1,MESH:D006528,1.0,Association,40130081
PHGDH,MESH:D006528,1.0,Association,40130081
TLR5,MESH:D000086382,1.0,Association,40149530
Nlrp3,MESH:D001249,0.989,Association,40163148
TRAF5,MESH:D011471,0.999,Association,40191236
LRP8,MESH:D009101,0.999,Association,40199866
SRGAP2C,MESH:D007153,0.837,Association,22559944
MIR29B2CHG,MESH:D001943,0.784,Negative_Correlation,34201896
MIR29B2,MESH:D001943,0.993,Negative_Correlation,34201896
MIR29C,MESH:D001943,0.957,Negative_Correlation,34201896
ACBD3,MESH:D009369,0.865,Positive_Correlation,34332535
PPIH,MESH:D000077192,1.0,Association,34840672
PFDN2,MESH:D000077192,1.0,Association,34840672
MRTO4,MESH:D000086382,0.999,Association,34840672
MRPL24,MESH:D000086382,0.981,Association,34840672
EBNA1BP2,MESH:D000086382,0.999,Association,34840672
MRTO4,MESH:D000077192,1.0,Association,34840672
MRPL24,MESH:D000077192,1.0,Association,34840672
EBNA1BP2,MESH:D000077192,1.0,Association,34840672
PFDN2,MESH:D000086382,0.999,Association,34840672
PPIH,MESH:D000086382,1.0,Association,34840672
NEK2,MESH:D000077192,0.991,Association,34850664
C2CD4D,MESH:D000077192,0.989,Association,34850664
THEM5,MESH:D000077192,0.993,Association,34850664
KANK4,MESH:D007239,1.0,Association,35480316
IFI44L,MESH:D007239,1.0,Association,35480316
IFI44L,MESH:D000086382,0.999,Association,35480316
KANK4,MESH:D000086382,0.993,Association,35480316
KANK4,MESH:D001749,0.999,Association,36211349
INTS7,MESH:D000077192,0.996,Positive_Correlation,"36647477,39465338"
INTS7,MESH:D008207,0.996,Positive_Correlation,36647477
SPRR2E,MESH:D012734,1.0,Association,36915614
S100A8,MESH:D012734,1.0,Association,36915614
SPRR2A,MESH:D012734,1.0,Association,36915614
SPRR2D,MESH:D012734,1.0,Association,36915614
LINC00853,MESH:D013274,0.981,Association,"37403034,38586313,39335515"
LINC00853,MESH:D009369,0.999,Association,37403034
PDZK1IP1,MESH:D009369,0.927,Association,37403034
PDZK1IP1,MESH:D013274,0.845,Association,"37403034,38586313"
CASP9,MESH:D006973,0.999,Association,37451613
OBSCN-AS1,MESH:D006973,0.968,Association,37451613
CHRM3,MESH:D018805,0.998,Association,37488493
SNORA80E,MESH:D009362,1.0,Association,37505750
SNORA80E,MESH:D009369,1.0,Association,37505750
SNORA80E,MESH:D063646,1.0,Association,37505750
